id,customerId,merchantCode,amountDkk,timestamp,category,note
TX72518,CUST034,MC1357 OSL NORDNET,10670.92,2025-01-01T10:01:32+02:00,Investment,
TX70196,CUST031,MC2468 ONLINE NETFLX,179.00,2025-07-04T23:05:32+02:00,Subscription,
TX71983,CUST030,MC2468 ONLINE NETFLX,149.00,2025-02-18T13:02:21+02:00,Subscription,
TX71952,CUST037,MC1357 OSL NORDNET,5622.99,2025-05-16T12:43:42+02:00,Investment,
TX71575,CUST005,MC2468 ONLINE NETFLX,129.00,2025-01-03T03:14:11+02:00,Subscription,
TX70256,CUST032,MC2468 ONLINE NETFLX,99.00,2025-01-14T20:53:38+02:00,Subscription,
TX72183,CUST022,MC1357 OSL NORDNET,2547.30,2025-08-17T06:17:48+02:00,Investment,
TX71025,CUST021,MC5678 AAR ICA,1366.63,2025-01-15T23:54:11+02:00,Groceries,
TX71908,CUST027,MC1234 OSL REMA1000,163.07,2025-06-05T08:28:04+02:00,Groceries,
TX72131,CUST017,MC7777 ATM DNB,1000.00,2025-06-07T09:18:12+02:00,ATM,
TX71044,CUST027,MC1357 OSL NORDNET,13459.05,2025-09-18T23:43:48+02:00,Investment,
TX71517,CUST024,MC2468 ONLINE NETFLX,149.00,2025-06-25T00:49:43+02:00,Subscription,
TX70673,CUST001,MC7777 ATM DNB,1500.00,2025-05-01T08:46:10+02:00,ATM,
TX70100,CUST030,MC4321 CPH MCDON,144.63,2025-08-19T06:19:50+02:00,FastFood,
TX70245,CUST017,MC4321 CPH MCDON,158.22,2025-09-23T19:55:07+02:00,FastFood,
TX71480,CUST039,MC9999 OSL BMW,2999.00,2025-05-10T00:39:56+02:00,Auto,
TX70943,CUST039,MC7777 ATM DNB,2000.00,2025-08-14T17:07:33+02:00,ATM,
TX72633,CUST030,MC2468 ONLINE NETFLX,149.00,2025-01-19T00:27:48+02:00,Subscription,
TX70276,CUST021,MC9999 OSL BMW,4200.00,2025-02-11T09:40:06+02:00,Auto,
TX70223,CUST021,MC7777 ATM DNB,200.00,2025-01-09T22:00:03+02:00,ATM,
TX71684,CUST019,MC4321 CPH MCDON,189.54,2025-06-06T01:44:39+02:00,FastFood,
TX72371,CUST029,MC5678 AAR ICA,787.77,2025-03-04T22:02:03+02:00,Groceries,
TX72725,CUST033,MC2468 ONLINE NETFLX,79.00,2025-05-12T04:55:55+02:00,Subscription,
TX70657,CUST035,MC8548 CPH UNKNOWN,295.93,2025-07-06T00:19:45+02:00,Unknown,
TX71696,CUST002,MC1357 OSL NORDNET,17711.69,2025-04-13T20:28:06+02:00,Investment,
TX70062,CUST012,MC2468 ONLINE NETFLX,79.00,2025-05-12T14:26:44+02:00,Subscription,
TX71163,CUST037,MC2738 ONLINE UNKNOWN,638.74,2025-04-16T03:22:11+02:00,Unknown,
TX70899,CUST030,MC1234 OSL REMA1000,955.05,2025-03-26T07:12:33+02:00,Groceries,
TX70988,CUST007,MC4275 OSL UNKNOWN,29.05,2025-04-13T04:11:20+02:00,Unknown,
TX70678,CUST031,MC9999 OSL BMW,750.00,2025-07-29T09:41:07+02:00,Auto,
TX70997,CUST008,MC7777 ATM DNB,1500.00,2025-04-30T08:43:14+02:00,ATM,
TX70492,CUST006,MC2468 ONLINE NETFLX,149.00,2025-03-07T22:41:50+02:00,Subscription,
TX90063,CUST026,MC1234 OSL REMA1000,300.00,2025-08-10T19:44:08+02:00,FastFood,
TX72369,CUST026,MC1234 OSL REMA1000,664.68,2025-02-09T13:51:22+02:00,Groceries,
TX72194,CUST004,MC5678 AAR ICA,856.40,2025-03-14T00:44:25+02:00,Groceries,
TX70246,CUST010,MC9999 OSL BMW,2999.00,2025-07-01T12:42:06+02:00,Auto,
TX70553,CUST013,MC1234 OSL REMA1000,463.05,2025-04-04T00:29:55+02:00,Groceries,
TX70908,CUST039,MC2468 ONLINE NETFLX,129.00,2025-02-19T18:04:09+02:00,Subscription,
TX71467,CUST025,MC9999 OSL BMW,250000.00,2025-04-14T07:47:40+02:00,Auto,
TX72021,CUST030,MC2468 ONLINE NETFLX,129.00,2025-03-11T20:24:43+02:00,Subscription,
TX70172,CUST009,MC9999 OSL BMW,250000.00,2025-08-27T18:19:14+02:00,Auto,
TX70817,CUST034,MC4321 CPH MCDON,156.54,2025-02-14T20:04:36+02:00,FastFood,
TX71907,CUST004,MC2468 ONLINE NETFLX,179.00,2025-04-03T16:54:19+02:00,Subscription,
TX72133,CUST016,MC1234 OSL REMA1000,189.56,2025-05-11T00:25:34+02:00,Groceries,
TX90087,CUST036,MC4321 CPH MCDON,0.00,2025-01-29T15:09:52+02:00,FastFood,
TX70600,CUST003,MC1357 OSL NORDNET,4654.76,2025-01-01T09:35:53+02:00,Investment,
TX71910,CUST006,MC3038 AAR UNKNOWN,324.42,2025-07-12T20:21:59+02:00,Unknown,
TX70634,CUST009,MC9999 OSL BMW,2999.00,2025-05-05T08:13:16+02:00,Auto,
TX72048,CUST038,MC4321 CPH MCDON,75.66,2025-03-15T15:27:18+02:00,FastFood,
TX70475,CUST024,MC7777 ATM DNB,1500.00,2025-02-22T00:02:26+02:00,ATM,
TX70664,CUST009,MC4321 CPH MCDON,55.97,2025-06-16T21:42:11+02:00,FastFood,
TX71777,CUST011,MC1234 OSL REMA1000,1304.65,2025-04-01T10:39:37+02:00,Groceries,
TX70449,CUST029,MC9999 OSL BMW,4200.00,2025-04-06T11:39:57+02:00,Auto,
TX70706,CUST039,MC4321 CPH MCDON,127.66,2025-06-03T13:49:22+02:00,FastFood,
TX70539,CUST024,MC4321 CPH MCDON,58.59,2025-06-20T11:21:27+02:00,FastFood,
TX70632,CUST038,MC9999 OSL BMW,750.00,2025-09-06T00:58:59+02:00,Auto,
TX71127,CUST005,MC7777 ATM DNB,500.00,2025-05-01T02:54:23+02:00,ATM,
TX72763,CUST001,MC7777 ATM DNB,1500.00,2025-08-22T13:10:41+02:00,ATM,
TX71495,CUST018,MC1234 OSL REMA1000,267.45,2025-07-27T15:24:06+02:00,Groceries,
TX71032,CUST018,MC5678 AAR ICA,471.65,2025-08-23T08:21:09+02:00,Groceries,
TX71295,CUST018,MC9999 OSL BMW,1800.00,2025-09-10T10:23:38+02:00,Auto,
